원문,토큰,태그_1위,설명,태그_전체
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",반영하여,A10,"title: Open/closed; Hiding/Hidden; Finding; Showing description: General/abstract terms relating to (level of) openness/concealment/exposure, etc",A10|A2.2|Q1.1|Q4.3|A1.8
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",학교,P1,title: Education in general description: Terms relating to education in general,P1|Z3|S5|H1|Z1
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",교육의,P1,title: Education in general description: Terms relating to education in general,P1|Z3|A1.1.1|Z1|S5
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",질을,O4.1,title: General appearance and physical properties description: Terms relating to general appearance/physical properties,O4.1|O4.2|A5.1|A1.1.1|Z5
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",제고하도록,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|A2.1|Z5|Z3|T2
"2016학년도 학교평가는 전 학교를 대상으로 매년 학교자체평가로 실시되며 학교별로 교원, 학교운영위원, 학부모, 외부교육 전문가로 구성된 자체평가위원회를 구성하여 평가의 객관성을 확보하고 학교평가 결과는 내년도 학교교육계획에 반영하여 학교 교육의 질을 제고하도록 변경되었습니다.",변경되었습니다.,A2.1,"title: Affect: Modify, change description: General/abstract terms denoting (propensity for) change",A2.1|M1|Z5|T2|Q3
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,학교,P1,title: Education in general description: Terms relating to education in general,P1|H1|Z3|L2|S5
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,자율휴업일이지만,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|S5|Z2|A1.1.1
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,EBS,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z5|Z2|Z4
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,교육방송,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|P1|Z1|Q4.3|Z2
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,프로그램,X7,title: Wanting; planning; choosing description: Terms depicting (level of) desire/aspiration,X7|Y2|Q4.3|P1|Q1.2
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,시청(국어)은,Q3,"title: Language, speech and grammar description: Terms relating to language (including linguistic/grammatical terms)",Q3|Z3|Z2|Z1|Z5
학교 자율휴업일이지만 EBS 교육방송 프로그램 시청(국어)은 있습니다.,있습니다.,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|A3|Z4|Z3|M6
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,매주,N6,title: Frequency etc. description: Terms relating to frequency/rate of recurrence,N6|T1.3|Z1|T2|N5.1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,수요일에는,T1.3,title: Time: Period description: Terms relating to a specific period of time,T1.3|T1.2|Z1|Z5|T2
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,가족이,S4,title: Kin description: Terms relating to relationships between family members/familiars,S4|S5|S2|Z5|Z1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,함께,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|T1.1.2|N5|A6.1|Z3
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,모여,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|A1.1.1|A1.8|A2.1|M1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,식사를,F1,title: Food description: Terms relating to food and food preparation,F1|A1.1.1|F2|Z3|Z5
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,하면서,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|A1.1.1|Z4|X9.2|G2.1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,대화를,Q2.1,title: Speech etc: Communicative description: Terms relating to spoken communication,Q2.1|Q2.2|Z5|Q3|A6.1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,통해,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|Q2.2|A2.2|A1.1.1|Q2.1
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,가족,S4,title: Kin description: Terms relating to relationships between family members/familiars,S4|S5|S2|E2|S3.2
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,사랑과,E2,"title: Liking description: Terms depicting fondness/affection/partiality/attachment, or the lack of",E2|S3.2|Z5|Z1|Z3
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,인성을,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|S3.2|Z1|X9.1|Z3
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,키워,F4,title: Farming & Horticulture description: Terms relating to agriculture and horticulture,F4|A2.1|N3.2|L2|N5
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,가정의,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|S4|Z5|Z3|H4
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,인성교육,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|Z1|Z3|S3.2|S5
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,기능을,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|S7.1|Y2|O4.1|Z5
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,회복하도록,A2.1,"title: Affect: Modify, change description: General/abstract terms denoting (propensity for) change",A2.1|X9.2|B2|T2|N6
매주 수요일에는 가족이 함께 모여 식사를 하면서 대화를 통해 가족 사랑과 인성을 키워 가정의 인성교육 기능을 회복하도록 합니다.,합니다.,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|Z5|X9.2|E3|N5
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.",실내에서,H2,title: Parts of buildings description: Terms relating to parts of buildings,H2|Z3|M6|H4|Z2
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.",적절한,A1.2,"title: Suitability description: General/abstract terms relating to appropriateness, suitability, aptness, etc",A1.2|A5.3|T1.3|A2.1|N5
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.","환기,",A2.1,"title: Affect: Modify, change description: General/abstract terms denoting (propensity for) change",A2.1|B1|B3|M1|B2
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.","온도,",O4.6,title: Temperature description: Terms relating to temperature,O4.6|Z5|B1|E1|Z3
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.",습도를,B2,title: Health and disease description: Terms relating to the (state of the) physical condition,B2|O4.1|A1.1.1|O4.2|Z5
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.",유지하고,S8,title: Helping/hindering description: Terms depicting (level of) help/hindrance,S8|A1.1.1|T2|Z3|A9
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.",개인위생을,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|Z1|Z3|S5|A1.1.1
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.",철저히,A1.3,"title: Caution description: General/abstract terms relating to vigilance/care/prudence, or the lack of.",A1.3|A4.2|G2.2|S1.2.6|A1.1.1
"실내에서 적절한 환기, 온도, 습도를 유지하고 개인위생을 철저히 합니다.",합니다.,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|X9.2|Z5|E3|N5
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,만들기,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|C1|A2.1|B4|O2
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,활동을,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|I3.1|T2|M1|S5
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,통해서,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|M6|A1.1.1|Z4|M1
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,성취감을,S3.2,"title: Relationship: Intimate/sexual description: Terms relating to relationships that are intimate and/or sexual, or to a person’s sexual orientation.",S3.2|E2|X5.2|B1|Z1
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,느끼고,X2.5,title: Understand description: Terms depicting (level of) understanding/comprehension,X2.5|E1|X2.1|Z5|Z3
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,다양한,A6.3,title: Comparing: Variety description: Comparative terms denoting (level of) variety,A6.3|A6.1|N5|A4.1|A6.2
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,경험을,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|I3.2|X2.4|X3|X2.5
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,할,A1.1.1,"title: General actions, making etc. description: General/abstract terms relating to an activity/action (e.g. act, adventure, approach, arise); a characteristic/feature (e.g. absorb, attacking, automatically); aconstruction/craft and/or the action of constructing/crafting (e.g. arrange, assemble, bolts, boring, break)",A1.1.1|Z5|X9.2|Z3|T2
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,기회가,T1.2,title: Time: Momentary description: Terms relating to a momentary/transitory (period/point in) time,T1.2|T1.3|Z5|N6|Z3
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,될,A2.1,"title: Affect: Modify, change description: General/abstract terms denoting (propensity for) change",A2.1|Z5|M1|T1.1.3|A3
만들기 활동을 통해서 성취감을 느끼고 다양한 경험을 할 기회가 될 것입니다.,것입니다.,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z5|T1.1.3|Q1.2|T1.2
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,본,X3.4,title: Sensory: Sight description: Sensory terms relating to sight,X3.4|X2.4|Z5|X2.1|Z3
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,교육지원청에서는,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z2|Z1|S2|G2.1
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,자라나는,N3.2,title: Measurement: Size description: Terms of measurement relating to size,N3.2|T3|S1.2.6|A2.1|B1
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,어린들이에게,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|T3|Z1|Z3|Z5
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,창의성,Q3,"title: Language, speech and grammar description: Terms relating to language (including linguistic/grammatical terms)",Q3|Z3|C1|X4.1|X2.1
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,교육을,P1,title: Education in general description: Terms relating to education in general,P1|A1.1.1|Q2.1|Z3|Z5
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,통하여,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|X9.2|Q1.3|M6|Z3
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,미래,T1.1.3,title: Time: General: Future description: General terms relating to a future (period/point in) time,T1.1.3|N4|Z3|T1.3|T1.1.1
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,사회의,S5,title: Groups and affiliation description: Terms relating to groups/the level of association/affiliation between groups,S5|G1.1|S1.1.1|Z3|S8
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,창조적,C1,title: Arts and crafts description: Terms relating to artistic/creative activities,C1|X2.1|X4.1|Q3|X7
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,인재가,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|I3.1|X9.1|Z1|Z3
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,될,A2.1,"title: Affect: Modify, change description: General/abstract terms denoting (propensity for) change",A2.1|Z5|T1.1.3|A3|M1
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,학생들을,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|P1|Z1|Z3|S5
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,육성하고자,X7,title: Wanting; planning; choosing description: Terms depicting (level of) desire/aspiration,X7|Z1|Z5|Z3|S3.2
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,북부교육지원청,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z2|S2|G2.1
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,발명교실을,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z2|Q1.2|H2
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,운영하고,M1,"title: Moving, coming and going description: Terms depicting movement (towards and away from X)",M1|A1.1.1|M2|T2|M3
본 교육지원청에서는 자라나는 어린들이에게 창의성 교육을 통하여 미래 사회의 창조적 인재가 될 학생들을 육성하고자 북부교육지원청 발명교실을 운영하고 있습니다.,있습니다.,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|A3|Z3|M6|Z4
